Trial,W1_Mean,W1_Std,W2_Mean,W2_Std,Motor_Spikes,Sensor_A_Spikes,Sensor_B_Spikes
0,0.802412,0.000488,0.060109,0.028953,2400,1035,782
1,1.134112,0.001481,0.052299,0.025960,2400,1163,776
2,1.334989,0.002071,0.052166,0.022148,2400,1120,775
3,1.826568,0.002750,0.054354,0.020449,2400,1096,771
4,1.687860,0.003445,0.063733,0.021614,2400,1147,803
5,1.719727,0.003776,0.051449,0.017135,2400,1152,805
6,1.814401,0.003913,0.047002,0.016405,2400,1140,789
7,2.219779,0.124570,0.025880,0.017693,2400,1129,803
8,2.111070,0.023349,0.072153,0.007962,2400,1355,776
9,2.153885,0.014895,0.080334,0.008374,2400,1385,776
10,2.586983,0.060473,0.030632,0.009453,2400,1083,815
11,2.433298,0.035824,0.043686,0.003172,2400,1183,808
12,2.801291,0.034968,0.046398,0.003050,2400,1194,762
13,2.614812,0.036209,0.063683,0.002827,2400,1155,804
14,2.628937,0.036998,0.043474,0.002832,2400,1163,776
15,3.058371,0.037637,0.010354,0.002853,2400,1105,804
16,3.223271,0.079972,0.021743,0.004821,2400,1058,815
17,2.977748,0.041514,0.049955,0.000383,2400,1140,787
18,2.970375,0.038046,0.054235,0.001091,2400,1153,776
19,3.391665,0.039605,0.057889,0.001469,2400,1037,781
20,3.566005,0.040605,0.024132,0.001641,2400,1080,785
21,3.649928,0.041000,0.051165,0.000265,2400,1127,772
22,3.700212,0.041088,0.048264,0.000630,2400,1050,771
23,3.738372,0.041417,0.041693,0.000349,2400,1177,767
24,3.772280,0.041864,0.037915,0.008853,2400,1137,794
25,3.804264,0.042679,0.041495,0.003240,2400,1125,771
26,3.494091,0.042900,0.039482,0.002083,2400,1142,777
27,3.804521,0.042851,0.012466,0.001920,2400,1113,812
28,3.938735,0.042985,0.050838,0.000364,2400,1179,808
29,3.666151,0.043312,0.046284,0.000569,2400,1158,776
30,3.956177,0.116409,0.048697,0.006366,2400,1141,813
31,3.781745,0.049746,0.063999,0.002722,2400,1319,783
32,4.134701,0.073741,0.040894,0.008979,2400,1139,823
33,3.951466,0.050242,0.035922,0.002662,2400,1132,775
34,3.966979,0.048038,0.036866,0.002469,2400,1161,776
35,4.055259,0.048192,0.037290,0.002323,2400,1161,793
36,4.512003,0.048308,0.039245,0.002198,2400,1047,781
37,4.358091,0.048465,0.037941,0.000270,2400,1179,793
38,4.384247,0.048390,0.060142,0.000105,2400,1307,771
39,4.476806,0.048347,0.041527,0.000174,2400,1176,817
40,4.890083,0.131353,0.038231,0.006917,2400,1039,814
41,4.692413,0.018824,0.036782,0.000266,2400,1133,779
42,4.731572,0.036053,0.036365,0.001178,2400,1166,793
43,4.826459,0.038140,0.059134,0.000528,2400,1330,781
44,4.932228,0.007286,0.040982,0.000716,2400,1184,793
45,4.998825,0.008240,0.036236,0.003191,2400,1176,806
46,4.962481,0.100414,0.013217,0.008745,2400,1079,815
47,4.947091,0.051484,0.020695,0.004942,2400,1113,813
48,4.916317,0.058834,0.054095,0.005327,2400,1143,763
49,4.563337,0.016710,0.075897,0.002506,2400,1289,782
